timestamp,0
2025-01-12 05:00:00,1417
2025-01-12 05:00:10,1874
2025-01-12 05:00:20,1841
2025-01-12 05:00:30,1878
2025-01-12 05:00:40,1652
2025-01-12 05:00:50,2156
2025-01-12 05:01:00,1784
2025-01-12 05:01:10,2193
2025-01-12 05:01:20,1925
2025-01-12 05:01:30,1792
2025-01-12 05:01:40,1856
2025-01-12 05:01:50,1701
2025-01-12 05:02:00,1716
2025-01-12 05:02:10,1620
2025-01-12 05:02:20,1925
2025-01-12 05:02:30,1637
2025-01-12 05:02:40,1748
2025-01-12 05:02:50,1887
2025-01-12 05:03:00,1985
2025-01-12 05:03:10,1591
2025-01-12 05:03:20,1664
2025-01-12 05:03:30,1759
2025-01-12 05:03:40,1960
2025-01-12 05:03:50,3387
2025-01-12 05:04:00,2001
2025-01-12 05:04:10,1838
2025-01-12 05:04:20,1869
2025-01-12 05:04:30,1659
2025-01-12 05:04:40,1993
2025-01-12 05:04:50,1574
2025-01-12 05:05:00,1593
2025-01-12 05:05:10,1561
2025-01-12 05:05:20,1345
2025-01-12 05:05:30,1466
2025-01-12 05:05:40,1428
2025-01-12 05:05:50,1725
2025-01-12 05:06:00,1539
2025-01-12 05:06:10,2860
2025-01-12 05:06:20,4508
2025-01-12 05:06:30,5082
2025-01-12 05:06:40,4980
2025-01-12 05:06:50,4126
2025-01-12 05:07:00,3562
2025-01-12 05:07:10,3674
2025-01-12 05:07:20,5334
2025-01-12 05:07:30,4671
2025-01-12 05:07:40,3377
2025-01-12 05:07:50,2888
2025-01-12 05:08:00,2985
2025-01-12 05:08:10,3969
2025-01-12 05:08:20,3492
2025-01-12 05:08:30,3454
2025-01-12 05:08:40,1942
2025-01-12 05:08:50,3657
2025-01-12 05:09:00,4657
2025-01-12 05:09:10,9344
2025-01-12 05:09:20,11630
2025-01-12 05:09:30,9146
2025-01-12 05:09:40,6146
2025-01-12 05:09:50,5572
2025-01-12 05:10:00,6987
2025-01-12 05:10:10,7411
2025-01-12 05:10:20,17986
2025-01-12 05:10:30,21688
2025-01-12 05:10:40,20570
2025-01-12 05:10:50,20345
2025-01-12 05:11:00,89819
2025-01-12 05:11:10,15671
2025-01-12 05:11:20,1269
2025-01-12 05:11:30,1463
2025-01-12 05:11:40,856
2025-01-12 05:11:50,859
2025-01-12 05:12:00,682
2025-01-12 05:12:10,820
2025-01-12 05:12:20,765
2025-01-12 05:12:30,603
2025-01-12 05:12:40,742
2025-01-12 05:12:50,697
2025-01-12 05:13:00,618
2025-01-12 05:13:10,620
2025-01-12 05:13:20,988
2025-01-12 05:13:30,1180
2025-01-12 05:13:40,1159
2025-01-12 05:13:50,353
2025-01-12 05:14:00,92
2025-01-12 05:14:10,24
2025-01-12 05:14:20,26
2025-01-12 05:14:30,46
2025-01-12 05:14:40,121
2025-01-12 05:14:50,74
2025-01-12 05:15:00,1
